fraction,run,test_random_pr,test_genomic_pr,test_snv_pr
0.001,rep_seed_4001,0.5263276100158691,0.04224463179707527,0.2164924293756485
0.001,rep_seed_4002,0.3864026963710785,0.13930752873420715,0.12530988454818726
0.001,rep_seed_4003,0.29958033561706543,-0.06349404156208038,0.08840946108102798
0.001,run_a,-0.0210455060005188,-0.003631886327639222,-0.015083727426826954
0.001,run_b,0.4375567138195038,0.0841413363814354,0.09566476196050644
0.001,run_c,0.1748237907886505,0.12513859570026398,0.06359243392944336
0.002,rep_seed_4001,0.3860113024711609,0.036441899836063385,0.11848270893096924
0.002,run_a,0.5236029624938965,0.07968958467245102,0.18596716225147247
0.002,run_b,0.5015136003494263,0.13099557161331177,0.1555742472410202
0.002,run_c,0.4983211159706116,0.15080106258392334,0.1429741233587265
0.005,run_a,0.5166377425193787,0.13144437968730927,0.17239241302013397
0.005,run_b,0.5136796236038208,0.16912026703357697,0.17272484302520752
0.005,run_c,0.47674235701560974,0.020796772092580795,0.15020456910133362
0.01,run_a,0.5376386642456055,0.17104171216487885,0.20048263669013977
0.01,run_b,0.5308350920677185,0.11104277521371841,0.20873592793941498
0.01,run_c,0.5434377789497375,0.1186157837510109,0.2098597139120102
0.02,run_a,0.5382564663887024,0.1307183802127838,0.20366011559963226
0.02,run_b,0.60553377866745,0.13618172705173492,0.2916523814201355
0.02,run_c,0.5738012790679932,0.26601773500442505,0.24321353435516357
0.05,run_a,0.657194197177887,0.27226465940475464,0.3388907313346863
0.05,run_b,0.6501036882400513,0.24027679860591888,0.3265880346298218
0.05,run_c,0.6754788160324097,0.24885649979114532,0.37086963653564453
0.1,run_a,0.6499378681182861,0.27508968114852905,0.32788965106010437
0.1,run_b,0.6354331374168396,0.2393328696489334,0.31833407282829285
0.1,run_c,0.5632508397102356,0.3127483129501343,0.2665455937385559
0.2,run_a,0.6670934557914734,0.3073360323905945,0.35595542192459106
0.2,run_b,0.6410316228866577,0.22625215351581573,0.29525071382522583
0.2,run_c,0.6008546948432922,0.291927695274353,0.2547377049922943
0.5,run_a,0.6447839140892029,0.3370593190193176,0.2665521204471588
0.5,run_b,0.6436876058578491,0.33577442169189453,0.2607417404651642
0.5,run_c,0.6758136749267578,0.3303281366825104,0.2802107632160187
1.0,run_a,0.6832401752471924,0.34060177206993103,0.33994948863983154
1.0,run_b,0.6595919132232666,0.2836463153362274,0.3119034171104431
1.0,run_c,0.7254934906959534,0.277133047580719,0.4667355418205261
